REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.117	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.132	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.155	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.155	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.188	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.186	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.231	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.212	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.240	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.238	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.247	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.280	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.274	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.277	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.306	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.299	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.315	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.219	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.235	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.245	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.270	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.295	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.298	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.287	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.312	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.290	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.309	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.305	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.321	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.336	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.321	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.307	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.327	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.336	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.335	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.356	 16000	wb
wavFiles_pad/3.wav	 tempDegrCBR.wav	 -1.000	 4.343	 16000	wb
